sensor_type,device_type,timestamps,value1,value2,value3
Pressure,smartphone,1529657285278000000,1018.4201,1010.5601,0.0
Pressure,smartphone,1529657285317000000,1018.4201,1010.5601,0.0
Pressure,smartphone,1529657285356000000,1018.321,1010.461,0.0
Pressure,smartphone,1529657285394000000,1018.321,1010.461,0.0
Pressure,smartphone,1529657285433000000,1018.321,1010.461,0.0
Pressure,smartphone,1529657285471000000,1018.321,1010.461,0.0
Pressure,smartphone,1529657285510000000,1018.31995,1010.45996,0.0
Pressure,smartphone,1529657285548000000,1018.31995,1010.45996,0.0
Pressure,smartphone,1529657285586000000,1018.31995,1010.45996,0.0
Pressure,smartphone,1529657285625000000,1018.31995,1010.45996,0.0
Pressure,smartphone,1529657285663000000,1018.33716,1010.4772,0.0
Pressure,smartphone,1529657285702000000,1018.33716,1010.4772,0.0
Pressure,smartphone,1529657285740000000,1018.33716,1010.4772,0.0
Pressure,smartphone,1529657285779000000,1018.33716,1010.4772,0.0
Pressure,smartphone,1529657285817000000,1018.3496,1010.4896,0.0
Pressure,smartphone,1529657285856000000,1018.3496,1010.4896,0.0
Pressure,smartphone,1529657285893000000,1018.3496,1010.4896,0.0
Pressure,smartphone,1529657285932000000,1018.3496,1010.4896,0.0
Pressure,smartphone,1529657285971000000,1018.37024,1010.51025,0.0
Pressure,smartphone,1529657286010000000,1018.37024,1010.51025,0.0
Pressure,smartphone,1529657286047000000,1018.37024,1010.51025,0.0
Pressure,smartphone,1529657286086000000,1018.37024,1010.51025,0.0
Pressure,smartphone,1529657286124000000,1018.37024,1010.51025,0.0
Pressure,smartphone,1529657286163000000,1018.38257,1010.5226,0.0
Pressure,smartphone,1529657286202000000,1018.38257,1010.5226,0.0
Pressure,smartphone,1529657286240000000,1018.38257,1010.5226,0.0
Pressure,smartphone,1529657286278000000,1018.38257,1010.5226,0.0
Pressure,smartphone,1529657286317000000,1018.3242,1010.46423,0.0
Pressure,smartphone,1529657286355000000,1018.3242,1010.46423,0.0
Pressure,smartphone,1529657286394000000,1018.3242,1010.46423,0.0
Pressure,smartphone,1529657286432000000,1018.3242,1010.46423,0.0
Pressure,smartphone,1529657286470000000,1018.30273,1010.44275,0.0
Pressure,smartphone,1529657286510000000,1018.30273,1010.44275,0.0
Pressure,smartphone,1529657286548000000,1018.30273,1010.44275,0.0
Pressure,smartphone,1529657286587000000,1018.30273,1010.44275,0.0
Pressure,smartphone,1529657286624000000,1018.3069,1010.4469,0.0
Pressure,smartphone,1529657286663000000,1018.3069,1010.4469,0.0
Pressure,smartphone,1529657286701000000,1018.3069,1010.4469,0.0
Pressure,smartphone,1529657286740000000,1018.3069,1010.4469,0.0
Pressure,smartphone,1529657286779000000,1018.32666,1010.4667,0.0
Pressure,smartphone,1529657286817000000,1018.32666,1010.4667,0.0
Pressure,smartphone,1529657286855000000,1018.32666,1010.4667,0.0
Pressure,smartphone,1529657286894000000,1018.32666,1010.4667,0.0
Pressure,smartphone,1529657286932000000,1018.29865,1010.43866,0.0
Pressure,smartphone,1529657286971000000,1018.29865,1010.43866,0.0
Pressure,smartphone,1529657287009000000,1018.29865,1010.43866,0.0
Pressure,smartphone,1529657287047000000,1018.29865,1010.43866,0.0
Pressure,smartphone,1529657287086000000,1018.3191,1010.4591,0.0
Pressure,smartphone,1529657287124000000,1018.3191,1010.4591,0.0
Pressure,smartphone,1529657287163000000,1018.3191,1010.4591,0.0
Pressure,smartphone,1529657287201000000,1018.3191,1010.4591,0.0
Pressure,smartphone,1529657287239000000,1018.3249,1010.4649,0.0
Pressure,smartphone,1529657287278000000,1018.3249,1010.4649,0.0
Pressure,smartphone,1529657287316000000,1018.3249,1010.4649,0.0
Pressure,smartphone,1529657287355000000,1018.3249,1010.4649,0.0
Pressure,smartphone,1529657287394000000,1018.3297,1010.4697,0.0
Pressure,smartphone,1529657287432000000,1018.3297,1010.4697,0.0
Pressure,smartphone,1529657287471000000,1018.3297,1010.4697,0.0
Pressure,smartphone,1529657287508000000,1018.3297,1010.4697,0.0
Pressure,smartphone,1529657287547000000,1018.2903,1010.4303,0.0
Pressure,smartphone,1529657287585000000,1018.2903,1010.4303,0.0
Pressure,smartphone,1529657287624000000,1018.2903,1010.4303,0.0
Pressure,smartphone,1529657287663000000,1018.2903,1010.4303,0.0
Pressure,smartphone,1529657287701000000,1018.3108,1010.4508,0.0
Pressure,smartphone,1529657287739000000,1018.3108,1010.4508,0.0
Pressure,smartphone,1529657287778000000,1018.3108,1010.4508,0.0
Pressure,smartphone,1529657287816000000,1018.3108,1010.4508,0.0
Pressure,smartphone,1529657287855000000,1018.31555,1010.45557,0.0
Pressure,smartphone,1529657287893000000,1018.31555,1010.45557,0.0
Pressure,smartphone,1529657287932000000,1018.31555,1010.45557,0.0
Pressure,smartphone,1529657287971000000,1018.31555,1010.45557,0.0
Pressure,smartphone,1529657288009000000,1018.3442,1010.4842,0.0
Pressure,smartphone,1529657288047000000,1018.3442,1010.4842,0.0
Pressure,smartphone,1529657288086000000,1018.3442,1010.4842,0.0
Pressure,smartphone,1529657288124000000,1018.3442,1010.4842,0.0
Pressure,smartphone,1529657288162000000,1018.3804,1010.5204,0.0
Pressure,smartphone,1529657288201000000,1018.3804,1010.5204,0.0
Pressure,smartphone,1529657288239000000,1018.3804,1010.5204,0.0
Pressure,smartphone,1529657288278000000,1018.3804,1010.5204,0.0
Pressure,smartphone,1529657288316000000,1018.3804,1010.5204,0.0
Pressure,smartphone,1529657288355000000,1018.3843,1010.5243,0.0
Pressure,smartphone,1529657288393000000,1018.3843,1010.5243,0.0
Pressure,smartphone,1529657288432000000,1018.3843,1010.5243,0.0
Pressure,smartphone,1529657288470000000,1018.3843,1010.5243,0.0
Pressure,smartphone,1529657288508000000,1018.30237,1010.4424,0.0
Pressure,smartphone,1529657288547000000,1018.30237,1010.4424,0.0
Pressure,smartphone,1529657288586000000,1018.30237,1010.4424,0.0
Pressure,smartphone,1529657288624000000,1018.30237,1010.4424,0.0
Pressure,smartphone,1529657288663000000,1018.28986,1010.4299,0.0
Pressure,smartphone,1529657288701000000,1018.28986,1010.4299,0.0
Pressure,smartphone,1529657288739000000,1018.28986,1010.4299,0.0
Pressure,smartphone,1529657288778000000,1018.28986,1010.4299,0.0
Pressure,smartphone,1529657288817000000,1018.2946,1010.43463,0.0
Pressure,smartphone,1529657288855000000,1018.2946,1010.43463,0.0
Pressure,smartphone,1529657288893000000,1018.2946,1010.43463,0.0
Pressure,smartphone,1529657288932000000,1018.2946,1010.43463,0.0
Pressure,smartphone,1529657288970000000,1018.26605,1010.40607,0.0
Pressure,smartphone,1529657289008000000,1018.26605,1010.40607,0.0
Pressure,smartphone,1529657289047000000,1018.26605,1010.40607,0.0
Pressure,smartphone,1529657289085000000,1018.26605,1010.40607,0.0
Pressure,smartphone,1529657289124000000,1018.29205,1010.43207,0.0
Pressure,smartphone,1529657289162000000,1018.29205,1010.43207,0.0
Pressure,smartphone,1529657289201000000,1018.29205,1010.43207,0.0
Pressure,smartphone,1529657289239000000,1018.29205,1010.43207,0.0
Pressure,smartphone,1529657289278000000,1018.3011,1010.4411,0.0
Pressure,smartphone,1529657289316000000,1018.3011,1010.4411,0.0
Pressure,smartphone,1529657289355000000,1018.3011,1010.4411,0.0
Pressure,smartphone,1529657289393000000,1018.3011,1010.4411,0.0
Pressure,smartphone,1529657289432000000,1018.27344,1010.41345,0.0
Pressure,smartphone,1529657289470000000,1018.27344,1010.41345,0.0
Pressure,smartphone,1529657289508000000,1018.27344,1010.41345,0.0
Pressure,smartphone,1529657289547000000,1018.27344,1010.41345,0.0
Pressure,smartphone,1529657289586000000,1018.24316,1010.3832,0.0
Pressure,smartphone,1529657289623000000,1018.24316,1010.3832,0.0
Pressure,smartphone,1529657289662000000,1018.24316,1010.3832,0.0
Pressure,smartphone,1529657289700000000,1018.24316,1010.3832,0.0
Pressure,smartphone,1529657289739000000,1018.26025,1010.40027,0.0
Pressure,smartphone,1529657289777000000,1018.26025,1010.40027,0.0
Pressure,smartphone,1529657289816000000,1018.26025,1010.40027,0.0
Pressure,smartphone,1529657289855000000,1018.26025,1010.40027,0.0
Pressure,smartphone,1529657289893000000,1018.2807,1010.4207,0.0
Pressure,smartphone,1529657289931000000,1018.2807,1010.4207,0.0
Pressure,smartphone,1529657289970000000,1018.2807,1010.4207,0.0
Pressure,smartphone,1529657290008000000,1018.2807,1010.4207,0.0
Pressure,smartphone,1529657290046000000,1018.3209,1010.46094,0.0
Pressure,smartphone,1529657290085000000,1018.3209,1010.46094,0.0
Pressure,smartphone,1529657290124000000,1018.3209,1010.46094,0.0
