sensor_type,device_type,timestamps,step
Step_Counter,smartphone,1529657760046000000,277.0
Step_Counter,smartphone,1529657760544000000,278.0
Step_Counter,smartphone,1529657760822000000,279.0
Step_Counter,smartphone,1529657761300000000,280.0
Step_Counter,smartphone,1529657761598000000,281.0
Step_Counter,smartphone,1529657762076000000,282.0
Step_Counter,smartphone,1529657762374000000,283.0
Step_Counter,smartphone,1529657762872000000,284.0
Step_Counter,smartphone,1529657763171000000,285.0
Step_Counter,smartphone,1529657763648000000,286.0
Step_Counter,smartphone,1529657763946000000,287.0
Step_Counter,smartphone,1529657764443000000,288.0
Step_Counter,smartphone,1529657764742000000,289.0
Step_Counter,smartphone,1529657765240000000,290.0
Step_Counter,smartphone,1529657765559000000,291.0
Step_Counter,smartphone,1529657766055000000,292.0
Step_Counter,smartphone,1529657766334000000,293.0
Step_Counter,smartphone,1529657766832000000,294.0
Step_Counter,smartphone,1529657767130000000,295.0
Step_Counter,smartphone,1529657767627000000,296.0
Step_Counter,smartphone,1529657767906000000,297.0
Step_Counter,smartphone,1529657768384000000,298.0
Step_Counter,smartphone,1529657768682000000,299.0
Step_Counter,smartphone,1529657769180000000,300.0
Step_Counter,smartphone,1529657769458000000,301.0
Step_Counter,smartphone,1529657769955000000,302.0
Step_Counter,smartphone,1529657770254000000,303.0
Step_Counter,smartphone,1529657770732000000,304.0
Step_Counter,smartphone,1529657771030000000,305.0
Step_Counter,smartphone,1529657771527000000,306.0
Step_Counter,smartphone,1529657771826000000,307.0
Step_Counter,smartphone,1529657772303000000,308.0
Step_Counter,smartphone,1529657772621000000,309.0
Step_Counter,smartphone,1529657773119000000,310.0
Step_Counter,smartphone,1529657773418000000,311.0
Step_Counter,smartphone,1529657773916000000,312.0
Step_Counter,smartphone,1529657774213000000,313.0
Step_Counter,smartphone,1529657774711000000,314.0
Step_Counter,smartphone,1529657775009000000,315.0
Step_Counter,smartphone,1529657775527000000,316.0
Step_Counter,smartphone,1529657775825000000,317.0
Step_Counter,smartphone,1529657776323000000,318.0
Step_Counter,smartphone,1529657776621000000,319.0
Step_Counter,smartphone,1529657777099000000,320.0
Step_Counter,smartphone,1529657777417000000,321.0
Step_Counter,smartphone,1529657777914000000,322.0
Step_Counter,smartphone,1529657778233000000,323.0
Step_Counter,smartphone,1529657778730000000,324.0
Step_Counter,smartphone,1529657779009000000,325.0
Step_Counter,smartphone,1529657779526000000,326.0
Step_Counter,smartphone,1529657779805000000,327.0
Step_Counter,smartphone,1529657780302000000,328.0
Step_Counter,smartphone,1529657780600000000,329.0
Step_Counter,smartphone,1529657781098000000,330.0
Step_Counter,smartphone,1529657781396000000,331.0
Step_Counter,smartphone,1529657781893000000,332.0
Step_Counter,smartphone,1529657782212000000,333.0
Step_Counter,smartphone,1529657782710000000,334.0
Step_Counter,smartphone,1529657782988000000,335.0
Step_Counter,smartphone,1529657783485000000,336.0
Step_Counter,smartphone,1529657783765000000,337.0
Step_Counter,smartphone,1529657784282000000,338.0
Step_Counter,smartphone,1529657784580000000,339.0
Step_Counter,smartphone,1529657785077000000,340.0
Step_Counter,smartphone,1529657785396000000,341.0
Step_Counter,smartphone,1529657785893000000,342.0
Step_Counter,smartphone,1529657786192000000,343.0
Step_Counter,smartphone,1529657786689000000,344.0
Step_Counter,smartphone,1529657786987000000,345.0
Step_Counter,smartphone,1529657787505000000,346.0
Step_Counter,smartphone,1529657787783000000,347.0
Step_Counter,smartphone,1529657788281000000,348.0
Step_Counter,smartphone,1529657788580000000,349.0
Step_Counter,smartphone,1529657789077000000,350.0
Step_Counter,smartphone,1529657789375000000,351.0
Step_Counter,smartphone,1529657789873000000,352.0
Step_Counter,smartphone,1529657790171000000,353.0
Step_Counter,smartphone,1529657790668000000,354.0
Step_Counter,smartphone,1529657790967000000,355.0
Step_Counter,smartphone,1529657791464000000,356.0
Step_Counter,smartphone,1529657791763000000,357.0
Step_Counter,smartphone,1529657792261000000,358.0
Step_Counter,smartphone,1529657792559000000,359.0
Step_Counter,smartphone,1529657793076000000,360.0
Step_Counter,smartphone,1529657793374000000,361.0
Step_Counter,smartphone,1529657793872000000,362.0
Step_Counter,smartphone,1529657794191000000,363.0
Step_Counter,smartphone,1529657794688000000,364.0
Step_Counter,smartphone,1529657794986000000,365.0
Step_Counter,smartphone,1529657795484000000,366.0
Step_Counter,smartphone,1529657795782000000,367.0
Step_Counter,smartphone,1529657796279000000,368.0
Step_Counter,smartphone,1529657796578000000,369.0
Step_Counter,smartphone,1529657797096000000,370.0
Step_Counter,smartphone,1529657797394000000,371.0
Step_Counter,smartphone,1529657797891000000,372.0
Step_Counter,smartphone,1529657798190000000,373.0
Step_Counter,smartphone,1529657798687000000,374.0
Step_Counter,smartphone,1529657799006000000,375.0
Step_Counter,smartphone,1529657799483000000,376.0
Step_Counter,smartphone,1529657799801000000,377.0
Step_Counter,smartphone,1529657800299000000,378.0
Step_Counter,smartphone,1529657800617000000,379.0
Step_Counter,smartphone,1529657801055000000,380.0
Step_Counter,smartphone,1529657801453000000,381.0
Step_Counter,smartphone,1529657801871000000,382.0
Step_Counter,smartphone,1529657802329000000,383.0
Step_Counter,smartphone,1529657802846000000,384.0
Step_Counter,smartphone,1529657803343000000,385.0
Step_Counter,smartphone,1529657803920000000,386.0
Step_Counter,smartphone,1529657804477000000,387.0
Step_Counter,smartphone,1529657804796000000,388.0
Step_Counter,smartphone,1529657805144000000,389.0
Step_Counter,smartphone,1529657805492000000,390.0
Step_Counter,smartphone,1529657807139000000,390.0
Step_Counter,smartphone,1529657848865000000,390.0
Step_Counter,smartphone,1529657852668000000,391.0
Step_Counter,smartphone,1529657853146000000,392.0
Step_Counter,smartphone,1529657855891000000,393.0
Step_Counter,smartphone,1529657856309000000,394.0
Step_Counter,smartphone,1529657856608000000,395.0
Step_Counter,smartphone,1529657857066000000,396.0
Step_Counter,smartphone,1529657857782000000,397.0
Step_Counter,smartphone,1529657858061000000,398.0
Step_Counter,smartphone,1529657858438000000,399.0
Step_Counter,smartphone,1529657858876000000,400.0
Step_Counter,smartphone,1529657859205000000,401.0
Step_Counter,smartphone,1529657859533000000,402.0
Step_Counter,smartphone,1529657859970000000,403.0
Step_Counter,smartphone,1529657860249000000,404.0
Step_Counter,smartphone,1529657860666000000,405.0
Step_Counter,smartphone,1529657860985000000,406.0
Step_Counter,smartphone,1529657861264000000,407.0
Step_Counter,smartphone,1529657861522000000,408.0
Step_Counter,smartphone,1529657861801000000,409.0
Step_Counter,smartphone,1529657862219000000,410.0
Step_Counter,smartphone,1529657862836000000,411.0
Step_Counter,smartphone,1529657863154000000,412.0
Step_Counter,smartphone,1529657863612000000,413.0
Step_Counter,smartphone,1529657863890000000,414.0
Step_Counter,smartphone,1529657864289000000,415.0
Step_Counter,smartphone,1529657864766000000,416.0
Step_Counter,smartphone,1529657865074000000,417.0
Step_Counter,smartphone,1529657865382000000,418.0
Step_Counter,smartphone,1529657865800000000,419.0
Step_Counter,smartphone,1529657866079000000,420.0
Step_Counter,smartphone,1529657866537000000,421.0
Step_Counter,smartphone,1529657866835000000,422.0
Step_Counter,smartphone,1529657867193000000,423.0
Step_Counter,smartphone,1529657867552000000,424.0
Step_Counter,smartphone,1529657867930000000,425.0
Step_Counter,smartphone,1529657868348000000,426.0
Step_Counter,smartphone,1529657868785000000,427.0
Step_Counter,smartphone,1529657869084000000,428.0
Step_Counter,smartphone,1529657869561000000,429.0
Step_Counter,smartphone,1529657869999000000,430.0
Step_Counter,smartphone,1529657870516000000,431.0
Step_Counter,smartphone,1529657870974000000,432.0
Step_Counter,smartphone,1529657871252000000,433.0
Step_Counter,smartphone,1529657871750000000,434.0
Step_Counter,smartphone,1529657872009000000,435.0
Step_Counter,smartphone,1529657872446000000,436.0
Step_Counter,smartphone,1529657872725000000,437.0
Step_Counter,smartphone,1529657873113000000,438.0
Step_Counter,smartphone,1529657873501000000,439.0
Step_Counter,smartphone,1529657873938000000,440.0
Step_Counter,smartphone,1529657874218000000,441.0
Step_Counter,smartphone,1529657874675000000,442.0
Step_Counter,smartphone,1529657874973000000,443.0
Step_Counter,smartphone,1529657875372000000,444.0
Step_Counter,smartphone,1529657875789000000,445.0
Step_Counter,smartphone,1529657876088000000,446.0
Step_Counter,smartphone,1529657876386000000,447.0
Step_Counter,smartphone,1529657876844000000,448.0
Step_Counter,smartphone,1529657877122000000,449.0
Step_Counter,smartphone,1529657877580000000,450.0
Step_Counter,smartphone,1529657877878000000,451.0
Step_Counter,smartphone,1529657878157000000,452.0
Step_Counter,smartphone,1529657878615000000,453.0
