sensor_type,device_type,timestamps,lux
TCS3400 ALS,smartphone,1528370507388000000,0.0
TCS3400 ALS,smartphone,1528370589540000000,1.0
TCS3400 ALS,smartphone,1528370589745000000,55.0
TCS3400 ALS,smartphone,1528370589949000000,104.0
TCS3400 ALS,smartphone,1528370590153000000,269.0
TCS3400 ALS,smartphone,1528370590357000000,176.0
TCS3400 ALS,smartphone,1528370590564000000,152.0
TCS3400 ALS,smartphone,1528370590971000000,84.0
TCS3400 ALS,smartphone,1528370591175000000,100.0
TCS3400 ALS,smartphone,1528370591379000000,129.0
TCS3400 ALS,smartphone,1528370591584000000,134.0
TCS3400 ALS,smartphone,1528370591788000000,148.0
TCS3400 ALS,smartphone,1528370591993000000,133.0
TCS3400 ALS,smartphone,1528370592197000000,154.0
TCS3400 ALS,smartphone,1528370592401000000,158.0
TCS3400 ALS,smartphone,1528370592606000000,154.0
TCS3400 ALS,smartphone,1528370592810000000,126.0
TCS3400 ALS,smartphone,1528370593014000000,86.0
TCS3400 ALS,smartphone,1528370593218000000,72.0
TCS3400 ALS,smartphone,1528370593423000000,76.0
TCS3400 ALS,smartphone,1528370593628000000,134.0
TCS3400 ALS,smartphone,1528370593832000000,107.0
TCS3400 ALS,smartphone,1528370594036000000,5.0
TCS3400 ALS,smartphone,1528370594241000000,23.0
TCS3400 ALS,smartphone,1528370594445000000,40.0
TCS3400 ALS,smartphone,1528370594650000000,8.0
TCS3400 ALS,smartphone,1528370594853000000,37.0
TCS3400 ALS,smartphone,1528370595058000000,36.0
TCS3400 ALS,smartphone,1528370595263000000,20.0
TCS3400 ALS,smartphone,1528370595467000000,5.0
TCS3400 ALS,smartphone,1528370595671000000,2.0
TCS3400 ALS,smartphone,1528370595876000000,0.0
TCS3400 ALS,smartphone,1528370597150000000,0.0
TCS3400 ALS,smartphone,1528370630870000000,1740.0
TCS3400 ALS,smartphone,1528370631074000000,32767.0
TCS3400 ALS,smartphone,1528370631483000000,11702.0
TCS3400 ALS,smartphone,1528370631687000000,32767.0
