sensor_type,device_type,timestamps,x,y,z
AK09911 Magnetometer,smartphone,1528370177459000000,-15.515137,18.891907,-37.332153
AK09911 Magnetometer,smartphone,1528370177478000000,-14.291382,18.713379,-35.417175
AK09911 Magnetometer,smartphone,1528370177499000000,-11.810303,19.355774,-35.41565
AK09911 Magnetometer,smartphone,1528370177519000000,-14.266968,18.0542,-35.440063
AK09911 Magnetometer,smartphone,1528370177539000000,-13.432312,18.052673,-34.73053
AK09911 Magnetometer,smartphone,1528370177559000000,-14.266968,18.0542,-35.440063
AK09911 Magnetometer,smartphone,1528370177578000000,-13.456726,18.711853,-34.70764
AK09911 Magnetometer,smartphone,1528370177599000000,-13.456726,18.707275,-35.42328
AK09911 Magnetometer,smartphone,1528370177619000000,-14.315796,19.367981,-36.11145
AK09911 Magnetometer,smartphone,1528370177639000000,-15.150452,19.377136,-35.38971
AK09911 Magnetometer,smartphone,1528370177659000000,-15.174866,20.036316,-35.368347
AK09911 Magnetometer,smartphone,1528370177678000000,-14.242554,17.399597,-34.74579
AK09911 Magnetometer,smartphone,1528370177699000000,-13.395691,18.989563,-38.528442
AK09911 Magnetometer,smartphone,1528370177719000000,-15.899658,19.015503,-37.07733
AK09911 Magnetometer,smartphone,1528370177738000000,-11.701965,18.32428,-37.846375
AK09911 Magnetometer,smartphone,1528370177759000000,-11.701965,18.32428,-37.846375
AK09911 Magnetometer,smartphone,1528370177779000000,-11.701965,18.32428,-37.846375
AK09911 Magnetometer,smartphone,1528370177798000000,-13.851929,16.972351,-37.446594
AK09911 Magnetometer,smartphone,1528370177818000000,-13.876343,17.651367,-34.561157
AK09911 Magnetometer,smartphone,1528370177839000000,-15.545654,17.643738,-37.4115
AK09911 Magnetometer,smartphone,1528370177859000000,-13.851929,16.983032,-36.013794
AK09911 Magnetometer,smartphone,1528370177879000000,-13.041687,17.636108,-35.998535
AK09911 Magnetometer,smartphone,1528370177899000000,-14.759827,18.960571,-36.65924
AK09911 Magnetometer,smartphone,1528370177919000000,-13.851929,16.978455,-36.730957
AK09911 Magnetometer,smartphone,1528370177939000000,-15.545654,17.65747,-35.264587
AK09911 Magnetometer,smartphone,1528370177959000000,-13.041687,17.63153,-36.714172
AK09911 Magnetometer,smartphone,1528370177979000000,-14.735413,18.312073,-35.247803
AK09911 Magnetometer,smartphone,1528370177998000000,-13.876343,17.637634,-36.70807
AK09911 Magnetometer,smartphone,1528370178019000000,-13.041687,17.636108,-35.998535
AK09911 Magnetometer,smartphone,1528370178038000000,-16.357422,20.413208,-35.887146
AK09911 Magnetometer,smartphone,1528370178059000000,-14.663696,19.728088,-38.069153
AK09911 Magnetometer,smartphone,1528370178078000000,-14.712524,21.047974,-38.024902
AK09911 Magnetometer,smartphone,1528370178099000000,-16.381836,21.058655,-38.012695
AK09911 Magnetometer,smartphone,1528370178118000000,-15.2404785,19.075012,-37.197876
AK09911 Magnetometer,smartphone,1528370178139000000,-14.405823,19.068909,-37.20398
AK09911 Magnetometer,smartphone,1528370178158000000,-15.216064,18.409729,-37.934875
AK09911 Magnetometer,smartphone,1528370178179000000,-14.356995,17.755127,-36.531067
AK09911 Magnetometer,smartphone,1528370178198000000,-15.167236,17.09137,-37.979126
AK09911 Magnetometer,smartphone,1528370178219000000,-13.473511,16.421509,-38.012695
AK09911 Magnetometer,smartphone,1528370178239000000,-14.381409,18.405151,-37.94098
AK09911 Magnetometer,smartphone,1528370178258000000,-14.405823,19.068909,-37.20398
AK09911 Magnetometer,smartphone,1528370178279000000,-15.216064,18.409729,-37.934875
AK09911 Magnetometer,smartphone,1528370178298000000,-16.05072,18.42041,-37.213135
AK09911 Magnetometer,smartphone,1528370178319000000,-14.356995,17.730713,-40.11078
AK09911 Magnetometer,smartphone,1528370178338000000,-14.405823,19.068909,-37.20398
AK09911 Magnetometer,smartphone,1528370178359000000,-14.356995,17.75055,-37.246704
AK09911 Magnetometer,smartphone,1528370178378000000,-16.435242,19.20166,-36.83014
AK09911 Magnetometer,smartphone,1528370178399000000,-18.104553,19.212341,-36.817932
AK09911 Magnetometer,smartphone,1528370178418000000,-16.435242,19.195557,-37.545776
AK09911 Magnetometer,smartphone,1528370178438000000,-14.825439,18.77594,-36.366272
AK09911 Magnetometer,smartphone,1528370178458000000,-14.825439,18.77594,-36.366272
