sensor_type,device_type,timestamps,steps
Step Counter,smartphone,1528370753539000000,4476.0
Step Counter,smartphone,1528370754569000000,4479.0
Step Counter,smartphone,1528370755518000000,4482.0
Step Counter,smartphone,1528370756468000000,4485.0
Step Counter,smartphone,1528370757761000000,4489.0
Step Counter,smartphone,1528370758710000000,4492.0
Step Counter,smartphone,1528370759699000000,4495.0
Step Counter,smartphone,1528370760648000000,4498.0
Step Counter,smartphone,1528370761638000000,4501.0
Step Counter,smartphone,1528370762587000000,4504.0
Step Counter,smartphone,1528370763578000000,4507.0
Step Counter,smartphone,1528370764547000000,4510.0
Step Counter,smartphone,1528370765597000000,4513.0
Step Counter,smartphone,1528370766567000000,4516.0
Step Counter,smartphone,1528370767536000000,4519.0
Step Counter,smartphone,1528370768809000000,4523.0
Step Counter,smartphone,1528370769759000000,4526.0
Step Counter,smartphone,1528370770768000000,4529.0
Step Counter,smartphone,1528370771697000000,4532.0
Step Counter,smartphone,1528370772707000000,4535.0
Step Counter,smartphone,1528370773657000000,4538.0
Step Counter,smartphone,1528370774666000000,4541.0
Step Counter,smartphone,1528370775596000000,4544.0
Step Counter,smartphone,1528370776606000000,4547.0
Step Counter,smartphone,1528370777555000000,4550.0
Step Counter,smartphone,1528370778545000000,4553.0
Step Counter,smartphone,1528370779494000000,4556.0
Step Counter,smartphone,1528370780787000000,4560.0
Step Counter,smartphone,1528370781817000000,4563.0
Step Counter,smartphone,1528370782766000000,4566.0
Step Counter,smartphone,1528370783776000000,4569.0
Step Counter,smartphone,1528370784705000000,4572.0
Step Counter,smartphone,1528370785736000000,4575.0
Step Counter,smartphone,1528370786685000000,4578.0
Step Counter,smartphone,1528370787715000000,4581.0
Step Counter,smartphone,1528370788684000000,4584.0
Step Counter,smartphone,1528370789695000000,4587.0
Step Counter,smartphone,1528370790664000000,4590.0
Step Counter,smartphone,1528370791654000000,4593.0
Step Counter,smartphone,1528370792643000000,4596.0
Step Counter,smartphone,1528370793654000000,4599.0
Step Counter,smartphone,1528370794583000000,4602.0
Step Counter,smartphone,1528370795593000000,4605.0
Step Counter,smartphone,1528370796583000000,4608.0
Step Counter,smartphone,1528370797633000000,4611.0
Step Counter,smartphone,1528370798602000000,4614.0
Step Counter,smartphone,1528370799612000000,4617.0
Step Counter,smartphone,1528370800744000000,4620.0
Step Counter,smartphone,1528370801794000000,4622.0
