,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,step_counter_steps,labelOnTable,labelWalking,labelRunning,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z
2018-06-07 11:16:52.165,0.125516862102,0.239933691624,9.83514053299,-7.67563173232e-05,-1.46422694949e-05,2.93616024242e-05,3860.0,1,0,0,516.0,-16.2241822,18.4382324,-35.39172344
2018-06-07 11:16:52.665,0.123067653899,0.238491269397,9.83595713065,-7.07452807576e-05,-0.000283674761515,-1.37945689899e-05,3860.0,1,0,0,516.0,-16.29565424,18.01098636,-34.61840824
2018-06-07 11:16:53.165,0.126408046717,0.239154931818,9.83715004798,-0.000403972576263,-5.79525727273e-05,-0.000217784540202,3860.0,1,0,0,516.0,-16.45458988,18.82781988,-35.8239138
2018-06-07 11:16:53.665,0.125084231152,0.238181220152,9.83683588889,0.000220713003687,-0.000122455635657,5.10167517172e-05,3860.0,1,0,0,515.083333333,-15.51245122,18.73126216,-35.46160884
2018-06-07 11:16:54.165,0.125609734717,0.239548346212,9.83694449495,-4.71565435176e-05,-8.05878746734e-05,0.000148600662613,3860.0,1,0,0,514.166666667,-16.14105228,18.08905028,-34.40795928
2018-06-07 11:16:54.665,0.124207467636,0.241446369949,9.83366168939,0.000105262423604,-0.000288677699188,1.69628085279e-05,3860.0,1,0,0,513.25,-16.10528568,18.20947268,-35.80889896
2018-06-07 11:16:55.165,0.124098806101,0.243150576465,9.83415730303,-0.000314990463819,-9.77635977889e-05,-9.74568961809e-05,3860.0,1,0,0,512.333333333,-14.02886974,18.56408704,-34.22003172
2018-06-07 11:16:55.665,0.124581924505,0.240007111919,9.83422379545,-0.000159946172081,-0.000159249086904,1.16183626396e-05,3860.0,1,0,0,509.0,-15.520386,19.82397456,-34.278931
2018-06-07 11:16:56.165,0.125283674551,0.24037016303,9.83580196212,0.000114019207538,-0.000397495286533,-3.27412303518e-05,3860.0,1,0,0,506.0,-16.31787108,17.89398192,-35.35717764
2018-06-07 11:16:56.665,0.121196322677,0.239082722172,9.83552964141,-6.24221464646e-06,-0.000198210126768,-7.29031091919e-05,3860.0,1,0,0,507.0,-15.66436762,18.35546872,-35.05291744
